PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
205211,Residential,4180401000,121 S 80TH ST,,10,2720,Bi-Level,Aluminum/Vinyl,1,1942,6,1055,1,3,1,NULL,6250,10/21/2019,136500
205220,Residential,4180410000,181 S 80TH ST,,10,2720,Ranch,Aluminum/Vinyl,1,1942,4,924,1,2,1,NULL,6372,2/28/2019,139500
205223,Residential,4180413000,166 S 81ST ST,,10,2720,Cape Cod,Frame,1,1948,5,1213,1,3,1,NULL,5850,8/23/2019,170000
205280,Residential,4180470000,223 S HONEY CREEK DR,,10,2720,Cape Cod,Aluminum/Vinyl,1,1942,5,1160,1,3,2,NULL,5800,7/29/2019,200000
205332,Residential,4180533000,209 S 77TH ST,,10,2720,Cape Cod,Stone,1,1944,6,1155,1,3,1,NULL,5998,6/7/2019,151000
205384,Residential,4190035000,7143 W ADLER ST,,10,2710,Milwaukee Bungalow,Asphalt/Other,1,1926,7,1073,1,3,1,NULL,4800,11/25/2019,129000
205444,Residential,4190308000,139-A S 72ND ST,,10,2720,Duplex N/S,Brick,1.5,1955,7,1775,2,4,2,NULL,4800,3/29/2019,169250
205451,Residential,4190315000,126 S 73RD ST,,10,2720,Milwaukee Bungalow,Frame,1,1925,8,1285,1,4,1,1,4800,9/4/2019,135100
205473,Residential,4190339000,107 N 74TH ST,,10,2720,Milwaukee Bungalow,Aluminum/Vinyl,1,1922,7,1189,1,3,1,NULL,4800,5/24/2019,206000
205484,Residential,4190353000,130 S 75TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1951,5,1260,1,3,1,NULL,7200,8/2/2019,147000
205500,Residential,4190371100,103 N 75TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1,1982,6,1321,1,4,2,NULL,3600,6/28/2019,174775
205506,Residential,4190379000,141 S 75TH ST,,10,2720,Cape Cod,Aluminum/Vinyl,1.5,1951,5,1133,1,3,1,NULL,3600,4/12/2019,153000
205507,Lg Apartment,4190380000,147 S 75TH ST,,10,6800,AP1 (Conventional Apt with 4-6 Units),Brick,2,1953,0,3230,4,2,NULL,NULL,8400,3/18/2019,252000
